date,site,quadrat #,regular shoot #,shoot 1 length,shoot 1 sheath length,shoot 1 width (cm),shoot 1 # blades,,,,,,,,,,,,,,,,,macroalgae species 1,macroalgae 1 wet weight (g),macroalgae 1 foil (g),macroalgae 1 dry (g),macroalgae species 2,macroalgae 2 wet weight (g),macroalgae 2 foil (g),macroalgae 2 dry (g),macroalgae species 3,macroalgae 3 wet weight (g),macroalgae 3 foil (g),macroalgae 3 dry (g),macroalgae species 4,macroalgae 4 wet weight (g),macroalgae 4 foil (g),macroalgae 4 dry (g),notes
05-Jul-17,pruth pocket,1,21,44,11.6,0.4,5,,,,,,,,,,,,,,,,,punctaria,1.4,0.72,0.76,ulva,1.65,0.69,0.79,gracilaria,2.28,0.94,1.074,NA,NA,NA,NA,
05-Jul-17,pruth pocket,2,15,47.2,9.4,0.4,4,,,,,,,,,,,,,,,,,punctaria,5.56,1.12,1.82,gracilaria,1.18,0.94,0.94,fucus,1.94,0.97,1.26,trace ulva,NA,NA,NA,
05-Jul-17,pruth pocket,3,22,38.7,7.7,0.35,6,,,,,,,,,,,,,,,,,gracilaria,2.59,0.87,1.13,trace ulva,NA,NA,NA,trace punctaria,NA,NA,NA,NA,NA,NA,NA,
05-Jul-17,pruth pocket,4,19,50.1,12.3,0.3,4,,,,,,,,,,,,,,,,,gracilaria,3.69,0.89,1.15,punctaria,3.13,0.86,1.19,ulva,4.32,0.99,1.52,NA,NA,NA,NA,
05-Jul-17,pruth pocket,5,15,41.9,9.9,0.25,5,,,,,,,,,,,,,,,,,punctaria,11.65,0.9,2.93,gracilaria,1.59,0.92,0.99,ulva,2.29,0.99,1.11,NA,NA,NA,NA,
05-Jul-17,pruth pocket,6,22,39.8,9.9,0.4,5,,,,,,,,,,,,,,,,,punctaria,2.14,1,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
05-Jul-17,pruth pocket,7,38,59.4,12.1,0.6,5,,,,,,,,,,,,,,,,,punctaria,6.35,0.77,1.77,gracilaria,6.01,0.99,1.66,ulva,4.05,0.65,0.99,NA,NA,NA,NA,
05-Jul-17,pruth pocket,8,23,69.9,14.4,0.6,5,,,,,,,,,,,,,,,,,punctaria,11.89,1.01,2.85,gracilaria,8.12,1.02,1.74,ulva,4.07,0.85,1.22,NA,NA,NA,NA,
05-Jul-17,pruth pocket,9,22,35.6,6.1,0.4,4,,,,,,,,,,,,,,,,,gracilaria,1.26,0.93,0.96,punctaria,3.46,0.76,1.1,NA,NA,NA,NA,NA,NA,NA,NA,
04-Jul-17,inner choked i5,1,4,135,39.6,0.8,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,2,5,175.1,40.2,1,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,3,3,160,47.8,1,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,4,6,162.1,43.3,1,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,5,5,199.2,45.4,1,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,6,6,160.3,38.1,0.9,2,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,7,4,135,26.2,1,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,8,4,143.2,33.3,0.9,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
04-Jul-17,inner choked i5,9,5,182,54.6,0.8,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
01-Jul-17,pruth bay,1,11,84.5,19,0.6,5,,,,,,,,,,,,,,,,,gracliaria,5.61,0.78,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
01-Jul-17,pruth bay,2,11,77.5,21,0.6,7,,,,,,,,,,,,,,,,,trace bryozoans and punctaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
01-Jul-17,pruth bay,3,17,66.5,16,0.5,5,,,,,,,,,,,,,,,,,gracilaria,0.72,0.41,0.46,ulva,0.95,0.41,0.46,NA,NA,NA,NA,NA,NA,NA,NA,
01-Jul-17,pruth bay,4,19,95,25,0.6,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4 Grazers: bag leaked water so de-prioritize this grazer sample
01-Jul-17,pruth bay,5,7,74,17.6,0.5,5,,,,,,,,,,,,,,,,,gracilaria,2.81,0.85,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
01-Jul-17,pruth bay,6,29,65,16.2,0.5,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
01-Jul-17,pruth bay,7,9,73.4,19,0.4,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
01-Jul-17,pruth bay,8,11,65.3,14.5,0.4,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
01-Jul-17,pruth bay,9,24,48.8,14.5,0.5,5,,,,,,,,,,,,,,,,,ulva,0.68,0.59,0.58,gracliaria,0.84,0.59,0.59,NA,NA,NA,NA,NA,NA,NA,NA,
02-Jul-17,sand spit,1,9,171,40,0.8,5,,,,,,,,,,,,,,,,,branched red algae,1.72,10.45,2.29,desmarestia,1.99,30.49,3.45,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,2,6,148,40.6,0.8,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,3,9,140,38,0.6,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,4,9,68,18,0.6,2,,,,,,,,,,,,,,,,,desmarestia,2.18,25.76,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,5,11,154,31,0.8,3,,,,,,,,,,,,,,,,,desmarestia,1.77,132.44,10.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,6,9,183,28,1,5,,,,,,,,,,,,,,,,,desmarestia,1.83,65.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,7,5,108,23,1,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,8,5,165.4,38,0.8,5,,,,,,,,,,,,,,,,,desmarestia,1.84,32.01,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
02-Jul-17,sand spit,9,16,117,29,1,4,,,,,,,,,,,,,,,,,desmarestia,1.92,26.16,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"epiphyte = Smithora, did not seive Smithora water which may lead to less epifaunal inverts in sample"
29-Jun-17,triquet north,1,2,183,37,1,7,,,,,,,,,,,,,,,,,desmarestia,90.84,2.26,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,2,5,134.2,31,1,NA,,,,,,,,,,,,,,,,,desmarestia,34.8,1.82,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,3,7,96.8,23,0.8,7,,,,,,,,,,,,,,,,,desmarestia,27.82,1.81,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,4,2,42,36,0.8,4,,,,,,,,,,,,,,,,,desmarestia,69.65,2.18,6.38,red branched algae,3.85,1.17,1.35,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,5,6,146,29.5,1,6,,,,,,,,,,,,,,,,,desmarestia,9.69,1.4,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,6,3,82,22,0.6,6,,,,,,,,,,,,,,,,,desmarestia,67.38,2.14,6.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,7,2,162.4,31.5,1,6,,,,,,,,,,,,,,,,,gracilaria,2.26,1.02,1.12,brown macro algae,2.12,1.26,1.34,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,8,4,119,19.5,0.8,6,,,,,,,,,,,,,,,,,desmarestia,100.37,2.04,11.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet north,9,4,124.4,28,0.8,6,,,,,,,,,,,,,,,,,desmarestia,123.37,7.41,14.67,branched red algae,7.88,2.39,2.91,NA,NA,NA,NA,NA,NA,NA,NA,observed reproductive shoots while diving
29-Jun-17,triquet bay,1,11,82,18,0.8,6,,,,,,,,,,,,,,,,,punctaria,25.19,1.89,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29-Jun-17,triquet bay,2,11,91.2,25,1,7,,,,,,,,,,,,,,,,,punctaria,32.02,1.94,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29-Jun-17,triquet bay,3,12,66,15.5,0.6,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29-Jun-17,triquet bay,4,12,115,27.5,1,6,,,,,,,,,,,,,,,,,punctaria,149.45,1.9,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4 Z. marina dry biomass lost
29-Jun-17,triquet bay,5,15,92,23.4,1,5,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q5 Z. marina dry biomass lost
29-Jun-17,triquet bay,6,16,115,31.5,0.8,6,,,,,,,,,,,,,,,,,punctaria,53.37,1.78,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29-Jun-17,triquet bay,7,9,110,30,1,5,,,,,,,,,,,,,,,,,desmarestia,70.41,1.78,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29-Jun-17,triquet bay,8,8,107,27.5,1,7,,,,,,,,,,,,,,,,,punctaria,95.62,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29-Jun-17,triquet bay,9,11,84,22.4,0.8,4,,,,,,,,,,,,,,,,,punctaria,2.13,1.7,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,