,Alia.carinata,Alvania.compacta,Amphissa.columbiana,Euspira.lewisii,Lacuna.spp,Lirularia.sp,Lottia.sp,Clinocardium.nuttallii,Mytilus.sp,Saxidomus.gigantea,Spirorbis.sp,Nereis.sp,Ampithoe.dalli,Ampithoe.lacertosa,Ampithoe.valida,Aoroides.spp,Monocorophium.sp,Orchomenella.recondita,Photis.brevipes,Pontogeneia.sp,Unknown.Ischyoceridae.gammarid,Caprella.californica,Caprella.laeviuscula,Caprella.natalensis,Cumella.vulgaris,Leptochelia.sp,Porcellidium.sp,Harpacticoid1,Idotea.montereyensis,Penidotea.resecata,Munna.sp,Pugettia.sp,Hippolyte.californiensis
cabbage1,0,22,2,0,96,0,0,5,1,1,0,5,0,0,40,2,16,0,0,0,0,0,67,0,2,2,0,90,0,0,1,0,0
cabbage2,0,2,0,0,89,0,1,5,7,7,4,4,0,0,1,2,2,0,0,0,0,0,3,0,2,7,0,102,0,0,0,0,0
cabbage3,0,32,0,0,50,0,0,4,4,3,7,1,0,0,2,2,60,0,0,0,0,0,64,0,11,37,0,113,0,0,0,0,0
cabbage4,0,10,0,0,23,0,0,0,4,0,0,7,0,0,7,1,25,0,0,0,0,0,22,0,3,64,0,72,0,0,0,0,0
cabbage5,1,1,3,0,85,0,2,2,1,1,26,2,0,0,8,2,4,0,0,0,0,0,158,0,0,2,0,95,0,1,0,0,0
cabbage6,0,12,0,0,189,0,0,5,26,0,12,0,0,0,1,5,0,0,0,0,0,0,211,0,0,1,0,36,0,0,0,0,0
dodger1,0,1,0,0,82,2,0,1,7,15,0,2,0,1,0,1,0,0,10,0,0,3,4,0,10,131,0,0,0,1,0,1,0
dodger2,2,0,0,0,18,0,0,0,3,0,0,0,1,3,0,3,1,0,4,0,2,9,4,0,3,110,0,1,0,0,1,0,0
dodger3,0,1,0,0,10,0,0,0,0,2,0,5,3,0,0,0,2,0,1,0,0,19,13,0,0,53,0,0,0,0,1,0,0
dodger4,3,0,1,0,11,5,0,0,1,2,0,3,0,0,0,1,0,0,9,3,0,14,8,0,0,72,0,3,0,0,1,1,0
dodger5,5,0,2,0,9,1,0,0,3,2,0,1,0,3,0,0,0,0,22,2,0,2,3,0,2,78,0,0,0,0,1,0,0
dodger6,0,0,0,0,11,0,0,0,2,0,0,6,0,0,0,2,0,0,6,0,0,9,11,0,0,73,0,0,0,0,0,1,0
ducking1,0,21,2,0,12,0,0,0,5,0,0,3,6,4,0,0,7,0,6,0,0,21,0,0,0,3,0,97,0,9,0,0,0
ducking2,0,9,0,0,52,0,0,0,14,0,0,2,9,0,0,0,3,0,8,16,0,71,0,0,1,2,10,65,0,21,1,1,0
ducking3,0,5,12,3,37,0,0,8,25,0,0,5,10,0,7,0,7,0,6,3,0,30,0,0,1,26,5,133,0,10,0,2,0
ducking4,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,8,0,0,0,3,0,5,3,0,0,0,0
ducking5,0,0,0,0,1,0,0,0,4,0,0,1,11,0,0,0,1,0,0,0,0,10,0,0,0,0,0,26,0,4,0,0,0
ducking6,0,9,0,0,54,0,0,0,14,0,0,1,6,0,0,0,3,0,8,18,2,69,0,0,1,2,10,36,0,19,1,1,0
elbow1,0,39,0,5,7,19,0,3,1,2,0,19,0,0,0,0,70,0,107,16,0,94,0,0,0,377,0,57,2,0,5,0,0
elbow2,0,85,5,33,16,21,0,1,1,0,0,5,0,1,0,0,122,0,1,32,0,1,0,0,1,344,0,77,12,0,0,0,0
elbow3,0,117,8,24,20,0,0,0,2,0,0,4,0,0,0,0,137,0,7,25,0,4,0,0,0,464,0,71,9,0,1,0,0
elbow4,0,9,9,5,30,0,0,0,0,0,0,20,0,11,0,0,73,0,0,45,0,2,0,0,0,432,0,238,7,0,0,2,0
elbow5,0,97,5,9,49,0,0,0,0,0,0,2,5,3,0,0,122,0,0,25,0,3,0,0,4,150,0,45,38,0,0,0,3
elbow6,0,148,0,59,44,0,0,1,1,0,0,4,0,2,0,0,114,0,3,78,0,2,0,0,2,233,0,116,10,0,0,1,2
gallagher1,0,0,0,0,137,0,0,0,1,0,0,70,0,0,0,35,0,0,0,0,0,0,9,0,0,0,2,90,0,0,0,0,1
gallagher2,0,0,0,0,149,0,0,2,3,0,0,268,0,0,0,35,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,1,0
gallagher3,0,0,0,0,112,0,0,0,4,0,0,74,0,0,0,0,0,0,0,3,0,0,16,0,0,0,3,102,0,0,0,0,0
gallagher4,0,1,0,0,83,0,1,0,1,0,0,30,0,0,0,66,0,0,0,1,0,0,2,0,0,0,0,97,0,0,0,0,1
gallagher5,0,0,0,0,257,0,1,0,7,0,0,66,0,0,1,192,0,0,0,2,0,0,27,0,0,0,0,0,0,0,0,1,4
gallagher6,0,1,0,0,120,1,0,0,5,0,0,10,0,0,0,20,0,0,0,4,0,0,1,0,0,0,0,84,0,0,0,0,0
hl1,0,53,3,0,21,0,3,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
hl2,0,102,2,0,74,0,4,0,1,0,2700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
hl3,0,1,0,0,7,0,3,0,2,3,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hl4,0,0,0,0,41,0,5,0,3,4,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hl5,0,1,0,0,27,0,1,0,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
hl6,0,2,1,0,57,0,4,0,1,2,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
indian1,0,6,0,5,43,0,0,13,9,0,0,10,13,0,8,0,29,0,0,8,0,3,0,0,0,43,0,263,0,3,0,0,0
indian2,0,0,0,0,2,0,0,2,2,0,0,0,12,0,0,0,20,0,0,1,0,0,0,0,0,44,0,136,0,1,0,0,0
indian3,0,0,0,1,19,0,0,7,2,0,0,1,8,0,0,0,36,0,0,0,0,2,0,0,3,87,0,128,0,0,0,0,0
indian4,0,1,0,0,19,0,0,3,3,0,0,2,4,0,3,0,42,0,0,0,0,0,0,0,0,51,1,61,0,2,0,0,0
indian5,0,0,0,0,8,0,0,2,2,0,0,3,1,0,0,0,7,0,0,0,0,1,0,0,0,32,0,0,0,1,0,0,0
indian6,0,0,0,0,23,0,0,14,3,0,0,12,0,0,14,0,51,0,0,0,0,1,0,0,1,141,0,312,0,0,0,0,0
james1,2,15,0,0,14,0,1,0,15,0,0,7,0,0,0,46,0,0,0,0,0,0,10,0,0,0,2,2,0,0,0,0,0
james2,2,365,2,0,131,34,6,6,13,8,0,41,0,0,5,508,0,0,0,9,0,0,61,0,0,1,11,97,0,4,8,0,9
james3,1,89,1,0,23,3,7,3,81,7,0,15,0,0,0,189,0,0,0,0,0,0,41,0,0,0,2,0,0,2,1,0,1
james4,0,66,0,0,24,6,0,2,18,5,0,8,0,0,0,149,0,0,0,0,0,0,25,0,0,4,1,8,0,0,0,0,3
james5,4,212,0,0,30,5,10,3,154,2,0,9,0,0,0,288,0,0,0,2,0,0,35,0,0,4,1,0,0,0,1,0,1
james6,5,89,11,0,35,8,5,2,45,0,0,14,0,0,2,199,0,0,0,2,0,0,29,0,0,1,5,5,0,0,1,0,4
lyall1,0,10,9,0,57,0,1,1,20,3,0,188,0,0,0,24,0,0,0,0,0,0,29,0,0,3,1,44,0,0,0,0,3
lyall2,0,1,0,0,22,0,0,2,9,4,19,110,0,0,0,28,0,0,0,0,0,0,16,0,0,1,5,81,0,0,0,0,0
lyall3,0,0,0,0,15,4,0,0,4,0,0,91,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,42,0,0,0,0,1
lyall4,0,9,1,0,56,0,4,7,45,15,17,219,0,0,2,24,0,0,0,0,0,0,20,0,0,4,5,47,0,0,0,0,0
lyall5,0,1,0,0,28,0,2,0,1,2,0,291,0,0,0,44,0,0,3,0,0,0,30,0,0,0,0,30,0,1,0,0,0
lyall6,0,0,0,0,6,0,0,2,0,0,30,360,0,0,0,52,0,0,5,0,0,0,19,0,0,2,0,12,0,0,0,0,0
ra1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,5,28,0,0,4,0,11,0,0,0,0,0
ra2,0,0,0,0,30,0,1,0,1,0,6,5,0,0,0,3,0,0,0,4,0,35,49,0,0,15,15,101,0,0,0,0,0
ra3,0,2,0,0,10,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,7,78,0,0,12,18,5,0,0,0,0,0
ra4,0,0,0,0,23,0,0,0,1,0,1,6,0,0,0,2,0,0,0,0,0,6,16,0,0,11,17,17,0,0,0,0,0
ra5,0,0,0,0,14,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,16,0,0,1,61,0,0,0,0,0,0
ra6,0,0,0,0,13,1,0,0,1,0,1,3,0,3,0,1,0,0,0,7,1,22,70,0,0,6,56,58,0,0,0,0,0
robbers1,4,0,0,0,0,0,0,0,3,0,0,31,0,0,0,8,0,0,4,0,0,3,9,13,0,14,0,0,0,0,0,2,0
robbers2,8,59,0,0,3,0,0,0,15,0,120,40,0,0,0,31,0,0,0,0,0,7,18,52,0,4,0,0,0,0,7,1,0
robbers3,11,1,0,0,5,1,0,1,5,0,9,17,0,0,0,0,0,0,6,0,0,4,22,19,0,164,0,0,0,0,0,3,0
robbers4,9,3,0,0,3,1,0,5,4,0,252,18,0,0,0,63,0,0,1,0,0,6,41,64,1,8,0,0,0,0,2,0,0
robbers5,1,0,0,0,1,0,0,0,1,0,9,10,0,0,0,7,0,0,0,0,0,2,6,23,0,0,0,0,0,0,0,0,0
robbers6,3,1,0,0,11,0,0,0,12,0,0,70,0,0,0,73,0,0,0,0,0,2,1,9,0,14,0,0,0,0,0,0,0
sarita1,0,3,1,0,1,0,0,0,44,2,0,22,3,0,3,0,0,0,0,0,0,25,0,0,0,30,6,2,0,0,0,0,0
sarita2,0,1,0,0,1,0,0,0,27,0,0,6,3,0,1,0,0,0,0,0,0,44,0,0,0,8,2,6,0,0,0,0,0
sarita3,0,0,0,0,5,0,0,0,77,1,0,13,9,0,6,0,14,0,0,2,0,7,0,0,0,85,9,7,0,6,0,0,0
sarita4,1,0,0,0,2,0,0,0,64,1,0,20,9,0,3,0,9,0,0,4,0,12,0,0,0,77,5,10,0,6,0,0,0
sarita5,1,1,0,0,0,0,0,0,18,1,0,14,5,0,3,0,1,0,1,0,0,22,0,0,0,69,5,0,0,3,0,0,0
sarita6,0,1,0,0,0,0,0,0,29,1,0,11,2,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0
sidney1,0,0,0,0,0,0,0,1,1,0,0,102,0,0,0,32,0,2,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0
sidney2,0,0,0,0,6,0,0,0,0,0,0,47,0,0,0,8,0,0,0,0,0,0,3,0,0,2,0,3,0,11,0,0,0
sidney3,0,0,0,0,11,0,0,0,0,0,0,27,0,0,0,4,0,0,0,0,0,0,6,0,0,1,0,4,0,0,0,0,0
sidney4,0,0,0,0,4,0,0,0,0,0,0,79,0,0,0,19,0,2,0,0,0,0,2,0,0,1,4,23,0,7,0,0,0
sidney5,0,5,0,0,24,0,0,0,0,0,0,48,0,0,0,10,0,5,0,0,0,0,23,0,0,1,3,11,0,7,0,0,0
sidney6,0,0,0,0,33,0,0,0,0,0,0,61,0,0,0,26,0,5,0,0,0,0,25,0,0,3,0,23,0,8,0,0,0
innerchoked1,0,0,4,0,111,0,0,0,2,0,0,4,0,0,0,12,0,0,5,32,207,14,3,0,0,0,35,72,0,29,1,0,0
innerchoked2,0,0,0,0,102,0,0,0,6,0,0,0,0,2,0,2,0,0,2,12,38,36,13,0,0,0,97,214,0,15,1,0,0
innerchoked3,0,0,0,0,54,8,0,0,3,0,0,0,0,0,0,10,0,0,6,8,258,60,0,0,0,0,33,45,0,54,1,0,0
innerchoked4,0,0,4,0,69,0,0,0,0,0,0,2,0,0,0,104,0,0,10,32,81,11,4,0,0,0,11,7,0,26,0,0,0
innerchoked5,0,0,1,0,27,1,0,0,4,0,0,0,0,0,0,13,0,0,4,6,63,32,16,0,0,0,41,36,0,18,1,0,0
innerchoked6,0,0,2,0,15,1,0,0,4,0,0,0,0,0,0,12,0,0,6,15,295,30,0,0,0,0,25,11,0,24,0,1,0
sandspit1,0,0,2,0,31,4,0,0,18,0,0,5,0,0,0,67,0,0,11,0,122,0,1,0,0,119,164,49,0,5,1,3,0
sandspit2,0,0,0,0,16,1,0,0,19,0,0,1,0,0,0,12,0,0,0,0,11,0,0,0,0,7,118,37,0,2,1,0,0
sandspit3,0,0,0,0,25,0,0,0,17,0,0,10,0,0,0,82,0,0,0,0,0,0,5,0,0,202,321,135,0,1,6,0,0
sandspit4,0,0,0,0,11,0,0,0,8,0,0,1,0,0,0,2,0,0,3,1,0,0,1,0,0,14,155,111,0,2,1,0,0
sandspit5,0,0,0,0,26,0,0,0,18,0,0,2,0,0,0,20,0,0,0,0,0,0,6,0,0,4,111,63,0,1,0,1,0
sandspit6,0,0,1,0,17,1,0,0,0,0,0,2,0,0,0,8,0,0,38,4,58,0,1,0,0,42,75,33,0,1,1,0,0
triquetn1,0,0,4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,0,0,25,39,30,0,0,3,0,0
triquetn2,0,0,9,0,7,1,1,0,1,0,0,3,0,0,0,0,0,0,7,0,79,6,3,0,0,29,41,13,0,0,5,0,0
triquetn3,0,0,3,0,28,9,0,0,2,0,0,3,0,0,0,6,0,0,4,1,5,20,9,0,0,25,16,33,0,0,29,0,0
triquetn4,0,0,1,0,1,2,0,0,1,0,0,7,0,0,0,0,0,0,4,1,1,11,9,0,0,32,69,27,0,0,12,0,0
triquetn5,0,0,1,0,5,2,0,0,0,0,0,4,0,0,0,0,0,0,14,0,3,1,0,0,0,53,11,16,0,0,0,0,0
triquetn6,0,0,5,0,27,2,1,0,1,0,0,10,0,0,0,0,0,0,7,0,5,65,14,0,0,5,52,72,0,0,13,0,0
triquetbay1,0,0,0,0,8,0,0,0,1,0,0,7,0,0,0,9,2,0,22,0,1,41,0,0,0,184,76,59,0,0,0,0,0
triquetbay2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,4,4,0,20,0,12,50,0,0,0,95,26,24,0,0,0,0,0
triquetbay3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,8,2,0,16,0,11,15,0,0,0,60,80,23,0,0,0,2,0
triquetbay4,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,13,0,1,62,20,0,0,82,136,25,0,0,0,0,0
triquetbay5,0,0,1,0,7,0,0,0,0,0,0,3,0,0,0,18,0,0,8,1,6,15,3,0,0,151,77,42,0,0,1,1,0
triquetbay6,0,0,1,0,6,0,0,0,1,0,0,1,0,0,0,2,0,0,8,0,4,57,17,0,0,79,118,40,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,