,Orchomenella.recondita,Nebalia.gerkinae,Littorina.sp,Harpacticoid3,Idotea.montereyensis,Lirularia.parcipincta,Exogone.sp,Jassa.marmorata,Unknown.hyalid.gammarid,Dorvillea.longicornis,Unknown.oenonid.polychaete,Pugettia.producta,Nereis.sp,Aoroides.columbiae,Photis.brevipes,Hippolyte.californiensis,Ceradocus.spinicauda,Euspira.lewisii,Mytilus.sp,Ischyocerus.anguipes,Caprella.californica,Ampithoe.lacertosa,Pontogeneia.rostrata,Unknown.opheliid.polychaete,Caprella.laeviuscula,Unknown.Ischyoceridae.gammarid,Porcellidium.sp,Leptochelia.sp,Cumella.vulgaris,Munna.sp,Amphissa.columbiana,Ampithoe.valida,Idotea.resecata,Monocorophium.insidiosum,Saxidomus.giganteaus,Alvania.compacta,Margarites.pupillus,Harpacticoid1,Clinocardium.nuttallii,Lacuna.sp,Alia.carinata,Anoplodactylus.viridintestinalis,Harpacticoid2,Grandidierella.japonica,Ampithoe.dalli,Pugettia.richii,Neoamphitrite.robusta,Caprella.natalensis,Harmothoe.imbricata,Unknown.isaeidae.gammarid,Lepidonotus.squamatus,Crepidula.sp,Lottia.sp,Glycerinde.armigera,Spirorbis.sp
HL,0,0,0,0,0,6.76E-05,0,0,0,0,0,0,0.000675676,0.001418919,0,6.76E-05,0,0,0,0,0,0,0,0,6.76E-05,0,0,0,0,0,0.000337838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,0,0,0,0.010666667,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.000666667,0,0,0,0,0,0,0,0,0,0,0,0,0.000666667,0,0,0,0,0,0,0,0,0,0.001333333,0
RB,0,0,0,0,0,0.007672634,0,0,0,0,0,0,0.304347826,0.281329923,0.028132992,0,0,0,0,0,0,0.007672634,0,0.002557545,0.42455243,0.002557545,0,0,0,0.023017903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010230179,0,0,0,0,0,0,0,0
CB,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0.026315789,0,0,0.001879699,0,0,0,0,0,0,0,0.986842105,0,0,0,0,0.001879699,0.009398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,0,0,0,0,0.013333333,0,0,0,0,0,0,0.013333333,0.08,0.008888889,0.115555556,0,0,0.017777778,0,0.008888889,0,0.017777778,0,0,0.048888889,0,0,0,0,0.004444444,0.062222222,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,0.017977528,0.002247191,0.002247191,0.004494382,0.011235955,0.020224719,0,0.024719101,0.02247191,0.103370787,0,0,0,0,0,0,0.015730337,0,0.013483146,0.546067416,0.004494382,0,0,0,0.008988764,0.006741573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002247191,0,0,0,0,0,0,0,0
RA,0,0,0,0,0,0.005181347,0,0,0,0,0,0,1,0.18134715,0.012953368,0,0,0,0,0,0,0,0,0,0.533678756,0.002590674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,0,0,0.001278772,0.002557545,0.012787724,0.025549872,0,0,0,0,0,0.003836317,0.654731458,0.41943734,0.003836317,0.010230179,0,0.07544757,0,0,0,0.002557545,0,0,0.079283887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB,0,0,0,0.006783493,0.038439796,0.039005088,0,0,0,0,0,0.001695873,0.028829847,0,0.069530808,0.001695873,0.000565291,0.042962126,0,0,0,0.008479367,0,0,0,0.001130582,0,0,0,0.003957038,0.01526286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB,0,0.043220339,0.004237288,0.000847458,0,0.040677966,0,0,0,0,0,0,0.077966102,1,0,0.011864407,0,0,0,0,0,0,0,0,0.145762712,0,0,0,0,0.008474576,0.002542373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH,0,0.00109529,0.005476451,0,0,0.013143483,0,0,0,0,0,0,1,0.358159912,0.003285871,0.008762322,0,0,0,0,0,0,0,0,0.140197152,0,0,0,0,0.00109529,0.023001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,0,0,0,0,0,0,0,0,0,0,0,0,0.512367491,0.25795053,0.003533569,0,0,0,0,0,0,0,0,0.003533569,0.003533569,0,0,0,0,0,0.003533569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS,0.02866242,0,0,0,0,0,0,0,0,0,0,0,1,0.232484076,0,0,0,0,0,0,0,0,0,0,0.117834395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0