site,date,time,depth(m),temp(c),pressure(mmhg),cond(uscm),salinity(ppt),ph,collector_name
sand_spit,1-Jul-17,16:32,0,11.5,763.9,47050,30.49,8.21,Marcus Campbell
sand_spit,1-Jul-17,16:32,1,11.3,763.9,47080,30.5,8.22,Marcus Campbell
sand_spit,1-Jul-17,16:32,2,12.3,763.9,46761,30.4,8.22,Marcus Campbell
sand_spit,1-Jul-17,16:32,3,11.3,763.9,47057,30.49,8.22,Marcus Campbell
sand_spit,1-Jul-17,16:32,4,11.3,763.9,47076,30.5,8.22,Marcus Campbell
sand_spit,1-Jul-17,16:32,5,11.2,763.9,47083,30.5,8.23,Marcus Campbell
sand_spit,1-Jul-17,16:32,6,12.3,764,46170,29.94,8.22,Marcus Campbell
sand_spit,1-Jul-17,16:32,7,11.4,763.9,47112,30.53,8.23,Marcus Campbell
wolf,1-Jul-17,17:29,0,11.3,763.7,47019,30.47,8.2,Marcus Campbell
wolf,1-Jul-17,17:29,1,11.3,763.7,47093,30.52,8.2,Marcus Campbell
wolf,1-Jul-17,17:29,2,11.2,763.7,47142,30.52,8.19,Marcus Campbell
wolf,1-Jul-17,17:29,3,11.3,763.7,47270,30.63,8.19,Marcus Campbell
wolf,1-Jul-17,17:29,4,11.2,763.7,47285,30.65,8.19,Marcus Campbell
wolf,1-Jul-17,17:29,5,11.2,763.7,47395,30.73,8.19,Marcus Campbell
wolf,1-Jul-17,17:29,6,11.2,763.7,47392,30.72,8.19,Marcus Campbell
wolf,1-Jul-17,17:29,7,11.2,763.7,47392,30.72,8.2,Marcus Campbell
pruth_pocket,1-Jul-17,8:38,0,13.1,762,44625,28.82,8.3,Marcus Campbell
pruth_pocket,1-Jul-17,8:38,1,12.6,762.7,45322,29.3,8.21,Marcus Campbell
pruth_pocket,1-Jul-17,8:38,2,13.1,762.7,44647,28.83,8.25,Marcus Campbell
pruth_pocket,1-Jul-17,8:38,3,12.8,762.6,43977,28.34,8.31,Marcus Campbell
pruth_bay,1-Jul-17,11:31,0,13.6,762.9,42760,27.55,8.28,Marcus Campbell
pruth_bay,1-Jul-17,11:31,1,13.5,763,43842,28.27,8.32,Marcus Campbell
pruth_bay,1-Jul-17,11:31,2,13.1,762.9,45030,29.1,8.33,Marcus Campbell
pruth_bay,1-Jul-17,11:31,3,13.2,762.9,45345,29.29,8.35,Marcus Campbell
sand_spit,7-Jul-17,10:45,0,11.3,766.2,46287,29.91,8.41,Angeleen Olson
sand_spit,7-Jul-17,10:45,1,11.3,766.4,46223,29.9,8.41,Angeleen Olson
sand_spit,7-Jul-17,10:45,2,11.3,766.3,46253,29.91,8.42,Angeleen Olson
sand_spit,7-Jul-17,10:45,3,11.3,766.3,46243,29.91,8.42,Angeleen Olson
wolf,7-Jul-17,11:32,0,11.5,766.9,48052,29.93,8.44,Angeleen Olson
wolf,7-Jul-17,11:32,1,11.3,767,46149,29.84,8.44,Angeleen Olson
wolf,7-Jul-17,11:32,2,11.3,767,46199,29.87,8.44,Angeleen Olson
wolf,7-Jul-17,11:32,3,11.3,767,46245,29.9,8.44,Angeleen Olson
wolf,7-Jul-17,11:32,4,11.3,767,46267,29.92,8.43,Angeleen Olson
wolf,7-Jul-17,11:32,5,11.3,767,46288,29.93,8.42,Angeleen Olson
wolf,7-Jul-17,11:32,6,11.2,767,46305,29.95,8.43,Angeleen Olson
pruth_pocket,7-Jul-17,8:35,0,14.6,765.6,37348,23.72,8.48,Angeleen Olson
pruth_pocket,7-Jul-17,8:35,1,14.7,765.7,37945,24.13,8.57,Angeleen Olson
pruth_bay,7-Jul-17,9:15,0,15.7,765.9,39338,25.13,8.67,Angeleen Olson
pruth_bay,7-Jul-17,9:15,1,15.5,735.8,39627,25.3,8.67,Angeleen Olson
pruth_bay,7-Jul-17,9:15,2,15.6,765.8,39869,25.5,8.68,Angeleen Olson
sand_spit,2-Jul-17,8:57,0,12,763.3,46616,30.21,8.35,Derek Vanmaanen
sand_spit,2-Jul-17,8:57,1,11.9,763.2,4677,30.3,8.35,Derek Vanmaanen
sand_spit,2-Jul-17,8:57,2,11.8,763.2,46784,30.3,8.35,Derek Vanmaanen
sand_spit,2-Jul-17,8:57,3,11.7,763.2,46742,30.3,8.36,Derek Vanmaanen
sand_spit,2-Jul-17,8:57,4,11.6,763.3,46852,30.33,8.36,Derek Vanmaanen
sand_spit,2-Jul-17,8:57,5,11.7,763.3,46686,30.2,8.36,Derek Vanmaanen
wolf,2-Jul-17,10:23,0,12.1,764,45523,30.3,8.43,Derek Vanmaanen
wolf,2-Jul-17,10:23,1,11.9,764,46750,30.3,8.43,Derek Vanmaanen
wolf,2-Jul-17,10:23,2,11.9,764,46751,30.3,8.43,Derek Vanmaanen
wolf,2-Jul-17,10:23,3,11.9,764.1,46751,30.31,8.43,Derek Vanmaanen
wolf,2-Jul-17,10:23,4,11.7,764.1,46814,30.3,8.41,Derek Vanmaanen
wolf,2-Jul-17,10:23,5,11.7,754.1,46833,30.34,8.4,Derek Vanmaanen
wolf,2-Jul-17,10:23,6,11.6,754.1,46846,30.35,8.4,Derek Vanmaanen
sand_spit,2-Jul-17,16:55,0,12.4,765.9,46254,30.03,8.52,Derek Vanmaanen
sand_spit,2-Jul-17,16:55,1,12.3,766,46260,29.96,8.52,Derek Vanmaanen
sand_spit,2-Jul-17,16:55,2,12.3,765.9,46263,29.96,8.53,Derek Vanmaanen
sand_spit,2-Jul-17,16:55,3,12.3,765.9,46261,29.96,8.53,Derek Vanmaanen
sand_spit,2-Jul-17,16:55,4,13,765.9,46323,30.01,8.53,Derek Vanmaanen
sand_spit,2-Jul-17,16:55,5,12.3,766,46337,30.01,8.53,Derek Vanmaanen
sand_spit,2-Jul-17,16:55,6,12.4,765.9,46330,30.01,8.53,Derek Vanmaanen
wolf,2-Jul-17,17:23,0,12.3,766,46077,29.81,8.53,Marcus Campbell
wolf,2-Jul-17,17:23,1,12.3,765.9,46331,30,8.52,Marcus Campbell
wolf,2-Jul-17,17:23,2,12.2,765.9,46446,30.08,8.51,Marcus Campbell
wolf,2-Jul-17,17:23,3,12,760,46535,30.14,8.51,Marcus Campbell
wolf,2-Jul-17,17:23,4,12,765.9,46545,30.15,8.49,Marcus Campbell
wolf,2-Jul-17,17:23,5,12,765.9,46562,30.16,8.5,Marcus Campbell
pruth_pocket,2-Jul-17,14:29,0,13.7,765.3,42843,27.65,8.55,Derek Vanmaanen
pruth_pocket,2-Jul-17,14:29,1,13.5,765.2,43546,28.04,8.59,Derek Vanmaanen
pruth_pocket,2-Jul-17,14:29,2,12.5,765.3,45426,29.37,8.55,Derek Vanmaanen
pruth_pocket,2-Jul-17,14:29,3,12.3,765.3,45707,29.54,8.55,Derek Vanmaanen
pruth_pocket,2-Jul-17,14:29,4,11.6,765.4,42960,29.7,8.52,Derek Vanmaanen
pruth_pocket,2-Jul-17,14:29,5,11,765.3,46243,29.88,8.46,Derek Vanmaanen
pruth_pocket,2-Jul-17,14:29,6,10.9,765.3,46378,29.97,8.4,Derek Vanmaanen
pruth_bay,2-Jul-17,15:11,0,13.9,765.6,44175,28.52,8.52,Marcus Campbell
pruth_bay,2-Jul-17,15:11,1,13.8,765.6,44251,28.56,8.56,Marcus Campbell
pruth_bay,2-Jul-17,15:11,2,13.4,765.6,44301,28.52,8.57,Marcus Campbell
choked_interior_i5,4-Jul-17,9:22,0,11.6,765.8,46999,30.46,8.21,Derek Vanmaanen
choked_interior_i5,4-Jul-17,9:22,1,11.6,765.9,47012,30.46,8.21,Derek Vanmaanen
choked_interior_i5,4-Jul-17,9:22,2,11.5,765.8,47088,30.5,8.21,Derek Vanmaanen
choked_interior_i5,4-Jul-17,9:22,3,11.4,765.8,47660,30.5,8.21,Derek Vanmaanen
choked_interior_i5,4-Jul-17,9:22,4,11.4,765.9,47060,30.49,8.21,Derek Vanmaanen
choked_interior_i5,4-Jul-17,9:22,5,11.3,765.8,47112,30.52,8.21,Derek Vanmaanen
choked_interior_i5,4-Jul-17,9:22,6,11.3,765.8,47116,30.53,8.21,Derek Vanmaanen
triquet_bay,29-Jun-17,10:55,0,13.6,767,46805,30.45,8.14,Marcus Campbell
triquet_bay,29-Jun-17,10:55,1,13.4,766.9,46848,30.45,8.17,Marcus Campbell
triquet_bay,29-Jun-17,10:55,2,12.9,767,46905,30.33,8.22,Marcus Campbell
triquet_north,29-Jun-17,13:45,0,13.2,767.3,47198,30.71,8.23,Marcus Campbell
triquet_north,29-Jun-17,13:45,1,12.8,767.4,47060,30.61,8.2,Marcus Campbell
triquet_north,29-Jun-17,13:45,2,12.7,767.3,47145,30.62,8.2,Marcus Campbell
triquet_north,29-Jun-17,13:45,3,12.6,767.4,47080,30.56,8.2,Marcus Campbell
triquet_north,29-Jun-17,13:45,4,12.6,767.4,47090,30.56,8.2,Marcus Campbell
triquet_north,29-Jun-17,13:45,5,12.5,767.3,47152,30.61,8.21,Marcus Campbell
triquet_north,29-Jun-17,13:45,6,12.5,767.3,47124,30.61,8.2,Marcus Campbell
pruth_pocket,5-Jul-17,15:40,0,15.9,763.5,39563,25.52,8.82,Angeleen Olson
pruth_pocket,5-Jul-17,15:40,1,15.3,763.4,40550,25.94,8.83,Angeleen Olson
pruth_pocket,5-Jul-17,15:40,2,14.2,763.4,42381,27.25,8.89,Angeleen Olson
