Quadrat,Site,Region
cabbage1,Cabbage_Isl,Southern Gulf Islands
cabbage2,Cabbage_Isl,Southern Gulf Islands
cabbage3,Cabbage_Isl,Southern Gulf Islands
cabbage4,Cabbage_Isl,Southern Gulf Islands
cabbage5,Cabbage_Isl,Southern Gulf Islands
cabbage6,Cabbage_Isl,Southern Gulf Islands
dodger1,Dodger_Channel,Barkley Sound
dodger2,Dodger_Channel,Barkley Sound
dodger3,Dodger_Channel,Barkley Sound
dodger4,Dodger_Channel,Barkley Sound
dodger5,Dodger_Channel,Barkley Sound
dodger6,Dodger_Channel,Barkley Sound
ducking1,Ducking,Clayoquot Sound
ducking2,Ducking,Clayoquot Sound
ducking3,Ducking,Clayoquot Sound
ducking4,Ducking,Clayoquot Sound
ducking5,Ducking,Clayoquot Sound
ducking6,Ducking,Clayoquot Sound
elbow1,Elbow_Bank,Clayoquot Sound
elbow2,Elbow_Bank,Clayoquot Sound
elbow3,Elbow_Bank,Clayoquot Sound
elbow4,Elbow_Bank,Clayoquot Sound
elbow5,Elbow_Bank,Clayoquot Sound
elbow6,Elbow_Bank,Clayoquot Sound
gallagher1,Gallagher_Bay,Southern Gulf Islands
gallagher2,Gallagher_Bay,Southern Gulf Islands
gallagher3,Gallagher_Bay,Southern Gulf Islands
gallagher4,Gallagher_Bay,Southern Gulf Islands
gallagher5,Gallagher_Bay,Southern Gulf Islands
gallagher6,Gallagher_Bay,Southern Gulf Islands
hl1,Louscoone,Haida Gwaii
hl2,Louscoone,Haida Gwaii
hl3,Louscoone,Haida Gwaii
hl4,Louscoone,Haida Gwaii
hl5,Louscoone,Haida Gwaii
hl6,Louscoone,Haida Gwaii
indian1,Indian,Clayoquot Sound
indian2,Indian,Clayoquot Sound
indian3,Indian,Clayoquot Sound
indian4,Indian,Clayoquot Sound
indian5,Indian,Clayoquot Sound
indian6,Indian,Clayoquot Sound
james1,James_Bay,Southern Gulf Islands
james2,James_Bay,Southern Gulf Islands
james3,James_Bay,Southern Gulf Islands
james4,James_Bay,Southern Gulf Islands
james5,James_Bay,Southern Gulf Islands
james6,James_Bay,Southern Gulf Islands
lyall1,Lyall_Harbour,Southern Gulf Islands
lyall2,Lyall_Harbour,Southern Gulf Islands
lyall3,Lyall_Harbour,Southern Gulf Islands
lyall4,Lyall_Harbour,Southern Gulf Islands
lyall5,Lyall_Harbour,Southern Gulf Islands
lyall6,Lyall_Harbour,Southern Gulf Islands
ra1,Ramsay,Haida Gwaii
ra2,Ramsay,Haida Gwaii
ra3,Ramsay,Haida Gwaii
ra4,Ramsay,Haida Gwaii
ra5,Ramsay,Haida Gwaii
ra6,Ramsay,Haida Gwaii
robbers1,Robbers,Barkley Sound
robbers2,Robbers,Barkley Sound
robbers3,Robbers,Barkley Sound
robbers4,Robbers,Barkley Sound
robbers5,Robbers,Barkley Sound
robbers6,Robbers,Barkley Sound
sarita1,Sarita,Barkley Sound
sarita2,Sarita,Barkley Sound
sarita3,Sarita,Barkley Sound
sarita4,Sarita,Barkley Sound
sarita5,Sarita,Barkley Sound
sarita6,Sarita,Barkley Sound
sidney1,Sidney_Spit,Southern Gulf Islands
sidney2,Sidney_Spit,Southern Gulf Islands
sidney3,Sidney_Spit,Southern Gulf Islands
sidney4,Sidney_Spit,Southern Gulf Islands
sidney5,Sidney_Spit,Southern Gulf Islands
sidney6,Sidney_Spit,Southern Gulf Islands
innerchoked1,Choked_Inner,Calvert Island
innerchoked2,Choked_Inner,Calvert Island
innerchoked3,Choked_Inner,Calvert Island
innerchoked4,Choked_Inner,Calvert Island
innerchoked5,Choked_Inner,Calvert Island
innerchoked6,Choked_Inner,Calvert Island
sandspit1,Sandspit,Calvert Island
sandspit2,Sandspit,Calvert Island
sandspit3,Sandspit,Calvert Island
sandspit4,Sandspit,Calvert Island
sandspit5,Sandspit,Calvert Island
sandspit6,Sandspit,Calvert Island
triquetn1,Triquet_North,Calvert Island
triquetn2,Triquet_North,Calvert Island
triquetn3,Triquet_North,Calvert Island
triquetn4,Triquet_North,Calvert Island
triquetn5,Triquet_North,Calvert Island
triquetn6,Triquet_North,Calvert Island
triquetbay1,Triquet_Bay,Calvert Island
triquetbay2,Triquet_Bay,Calvert Island
triquetbay3,Triquet_Bay,Calvert Island
triquetbay4,Triquet_Bay,Calvert Island
triquetbay5,Triquet_Bay,Calvert Island
triquetbay6,Triquet_Bay,Calvert Island