quad,longitude,latitude
cabbage1,-123.08668,48.79682
cabbage2,-123.086815,48.79682
cabbage3,-123.0869499,48.79682
cabbage4,-123.08668,48.79668503
cabbage5,-123.086815,48.79668503
cabbage6,-123.0869499,48.79668503
dodger1,-125.196425,48.835283
dodger2,-125.19656,48.835283
dodger3,-125.1966949,48.835283
dodger4,-125.196425,48.83514803
dodger5,-125.19656,48.83514803
dodger6,-125.1966949,48.83514803
ducking1,-125.8667652,49.13991329
ducking2,-125.8669002,49.13991329
ducking3,-125.8670351,49.13991329
ducking4,-125.8667652,49.13977832
ducking5,-125.8669002,49.13977832
ducking6,-125.8670351,49.13977832
elbow1,-125.9425946,49.19491951
elbow2,-125.9427296,49.19491951
elbow3,-125.9428645,49.19491951
elbow4,-125.9425946,49.19478454
elbow5,-125.9427296,49.19478454
elbow6,-125.9428645,49.19478454
gallagher1,-123.286252,48.826146
gallagher2,-123.286387,48.826146
gallagher3,-123.2865219,48.826146
gallagher4,-123.286252,48.82601103
gallagher5,-123.286387,48.82601103
gallagher6,-123.2865219,48.82601103
hl1,-131.28261,52.23015
hl2,-131.282745,52.23015
hl3,-131.2828799,52.23015
hl4,-131.28261,52.23001503
hl5,-131.282745,52.23001503
hl6,-131.2828799,52.23001503
indian1,-125.7763121,49.1128584
indian2,-125.7764471,49.1128584
indian3,-125.776582,49.1128584
indian4,-125.7763121,49.11272343
indian5,-125.7764471,49.11272343
indian6,-125.776582,49.11272343
james1,-123.397215,48.84043
james2,-123.39735,48.84043
james3,-123.3974849,48.84043
james4,-123.397215,48.84029503
james5,-123.39735,48.84029503
james6,-123.3974849,48.84029503
lyall1,-123.17972,48.794416
lyall2,-123.179855,48.794416
lyall3,-123.1799899,48.794416
lyall4,-123.17972,48.79428103
lyall5,-123.179855,48.79428103
lyall6,-123.1799899,48.79428103
ra1,-131.406197,52.568874
ra2,-131.406332,52.568874
ra3,-131.4064669,52.568874
ra4,-131.406197,52.56873903
ra5,-131.406332,52.56873903
ra6,-131.4064669,52.56873903
robbers1,-125.11768,48.895966
robbers2,-125.117815,48.895966
robbers3,-125.1179499,48.895966
robbers4,-125.11768,48.89583103
robbers5,-125.117815,48.89583103
robbers6,-125.1179499,48.89583103
sarita1,-125.036943,48.883677
sarita2,-125.037078,48.883677
sarita3,-125.0372129,48.883677
sarita4,-125.036943,48.88354203
sarita5,-125.037078,48.88354203
sarita6,-125.0372129,48.88354203
sidney1,-123.33126,48.64074
sidney2,-123.331395,48.64074
sidney3,-123.3315299,48.64074
sidney4,-123.33126,48.64060503
sidney5,-123.331395,48.64060503
sidney6,-123.3315299,48.64060503
innerchoked1,-128.119,51.675
innerchoked2,-128.119535,51.675
innerchoked3,-128.11967,51.675
innerchoked4,-128.119,51.675435
innerchoked5,-128.119535,51.675435
innerchoked6,-128.11967,51.675435
sandspit1,-128.115,51.678
sandspit2,-128.114835,51.678
sandspit3,-128.11497,51.678
sandspit4,-128.115,51.678335
sandspit5,-128.114835,51.678335
sandspit6,-128.11497,51.678335
triquetn1,-128.247457,51.808875
triquetn2,-128.247457,51.80874
triquetn3,-128.247457,51.808605
triquetn4,-128.247322,51.808875
triquetn5,-128.247322,51.80874
triquetn6,-128.247322,51.808605
triquetbay1,-128.235858,51.80869
triquetbay2,-128.235858,51.808555
triquetbay3,-128.235858,51.80842
triquetbay4,-128.235723,51.80869
triquetbay5,-128.235723,51.808555
triquetbay6,-128.235723,51.80842